mapName,id
A941,Sang-goo Lee
A942,Desmond J. Higham
A943,Peter Grindrod
A944,Alexander V. Mantzaris
A945,Amanda Otley
A946,Peter Laflin
A947,Tim Weninger
A948,Fabio Fumarola
A949,Jiawei Han
A950,Donato Malerba
A951,Satoshi Ono
A952,Kensuke Morinaga
A953,Shigeru Nakayama
A954,Erik Eilerts
A955,Kathleen O'Neil Lossau
A956,Christopher York
A957,Shulin Liu
A958,Cheng Feng
A959,Xiaohong Wang
A960,Peng Lin
A961,Bang Zhang
A962,Yi Wang
A963,Zhidong Li
A964,Bin Li
A965,Yang Wang
A966,Fang Chen
A967,Luyan Su
A968,Ruijian Zhang
A969,Ying Li
A970,Wenli Li
A971,Mohammad Emtiyaz Khan
A972,Shakir Mohamed
A973,Kevin P. Murphy
A974,Chao-Lin Liu
A975,Stefan Edelkamp
A976,Peter Kissmann
A977,Joris van der Hoeven
A978,Robin Larrieu
A979,Grégoire Lecerf
A980,Jeffrey C. F. Tai
A981,Eric T. G. Wang
A982,Kai Wang
A983,Yanyan Lan
A984,Jiafeng Guo
A985,Xueqi Cheng
A986,Tie-Yan Liu
A987,Clay Spence
A988,John C. Pearson
A989,James R. Bergen
A990,Jinsong Su
A991,Zhixing Tan
A992,Deyi Xiong
A993,Shoko Yamane
A994,Naohiro Matsumura
A995,Maksims Volkovs
A996,Richard S. Zemel
A997,Shreya Rajpal
A998,Aditya Parameswaran
A999,Wentao Zhang
A1000,Wenling Wu
A1001,Jisu Kim
A1002,Yen-Chi Chen
A1003,Sivaraman Balakrishnan
A1004,Alessandro Rinaldo
A1005,Larry A. Wasserman
A1006,Hongxia Jin
A1007,Nish Parikh
A1008,Neel Sundaresan
A1009,Rosaleen Hegarty
A1010,Tom Lunney
A1011,Kevin Curran
A1012,Haruna Kamo
A1013,Tetsuya Tano
A1014,Deng Cai
A1015,Xiaofei He
A1016,Masashi Ito
A1017,Tomohiro Ohno
A1018,Shigeki Matsubara
A1019,Anand Vadapalli
A1020,K. Ramamurthy
A1021,Tao Li
A1022,Wubai Zhou
A1023,Chunqiu Zeng
A1024,Qing Wang
A1025,Qifeng Zhou
A1026,Dingding Wang
A1027,Jia Xu
A1028,Yue Huang
A1029,Wentao Wang
A1030,Minjing Zhang
A1031,Steven Luis
A1032,Shu-Ching Chen
A1033,Naphtali Rishe
A1034,Huijing Deng
A1035,Yi Liu
A1036,Zenggang Xiong
A1037,Yang Yang
A1038,Xuemin Zhang
A1039,Dairong Yu
A1040,Li Liu
A1041,John M. Zelle
A1042,Raymond J. Mooney
A1043,Jerzy Brzezinski
A1044,Dariusz Dwornikowski
A1045,Michal Kalewski
A1046,Tomasz Pawlak
A1047,Michal Sajkowski
A1048,You su Mok
A1049,Dongsik Park
A1050,Chilgee Lee
A1051,Youngshin Han
A1052,Nghi D. Q. Bui
A1053,Lingixao Jiang
A1054,Yijun Yu
A1055,Ahmed S. Hefny
A1056,Ayat A. Hatem
A1057,Mahmoud M. Shalaby
A1058,Amir F. Atiya
A1059,Jeongdae Hong
A1060,Jinil Kim
A1061,Jihye Kim
A1062,Matthew K. Franklin
A1063,Kunsoo Park
A1064,Yue-Yang Chen
A1065,Hui-Ling Huang
A1066,Ruey-Cheng Chen
A1067,Damiano Spina
A1068,Mark Sanderson
A1069,Falk Scholer
A1070,Muhammad Saleem
A1071,Alison R. Panisson
A1072,Victor S. Melo
A1073,Vasco Furtado
A1074,Eurico Vasconcelos Filho
A1075,Janak Adhikari
A1076,Anuradha Mathrani
A1077,Chris Scogings
A1078,Indu Sofat
A1079,Zhijie Deng
A1080,Hao Zhang
A1081,Xiaodan Liang
A1082,Luona Yang
A1083,Shizhen Xu
A1084,Jun Zhu
A1085,Mingshan Liu
A1086,Yuan Zhou
